ticker,peer_string,peer_list
UNFI,"SPTN,SYY,WILC,CORE,CHEF,DIT,KR,HAIN","['SPTN', 'SYY', 'WILC', 'CORE', 'CHEF', 'DIT', 'KR', 'HAIN']"
UNH,"CI,HUM,CNC","['CI', 'HUM', 'CNC']"
UNIT,"TRTN,OPI-CA,UNIT,VAMO3-BR","['TRTN', 'OPI-CA', 'UNIT', 'VAMO3-BR']"
UNM,"CNO,AFL,AIZ,VOYA,PFG,AAME","['CNO', 'AFL', 'AIZ', 'VOYA', 'PFG', 'AAME']"
UNP,"KSU,CSX,NSC,CNI,CNR-CA,CP-CA,BRK.A","['KSU', 'CSX', 'NSC', 'CNI', 'CNR-CA', 'CP-CA', 'BRK.A']"
UNTY,"PKBK,PGC,LBAI,BRBW","['PKBK', 'PGC', 'LBAI', 'BRBW']"
UNVR,"HWKN,CHE,SXT,DNOW","['HWKN', 'CHE', 'SXT', 'DNOW']"
UONE,"SALM,RJR-JM,LSXMK,SBSAA","['SALM', 'RJR-JM', 'LSXMK', 'SBSAA']"
UONEK,"SALM,RJR-JM,LSXMK,SBSAA","['SALM', 'RJR-JM', 'LSXMK', 'SBSAA']"
UPLD,"JCDAF,EVOL,RP,SPSC","['JCDAF', 'EVOL', 'RP', 'SPSC']"
UPS,"FDX,EXPD,CHRW,ATSG,AIRT","['FDX', 'EXPD', 'CHRW', 'ATSG', 'AIRT']"
UPWK,"PBYA,PAXH,PERI,PHA-CA","['PBYA', 'PAXH', 'PERI', 'PHA-CA']"
URBN,"AEO,BKE,JWN,GPS,ANF,TJX,ZUMZ,EXPR,TLYS,GES","['AEO', 'BKE', 'JWN', 'GPS', 'ANF', 'TJX', 'ZUMZ', 'EXPR', 'TLYS', 'GES']"
URG,"DNN,LEU,UEC,JETMF,JET-CA,DML-CA","['DNN', 'LEU', 'UEC', 'JETMF', 'JET-CA', 'DML-CA']"
URGN,"ORTH-CA,OTIC,OTLC,ORIC","['ORTH-CA', 'OTIC', 'OTLC', 'ORIC']"
URI,"HEES,FAST,TEX,OSK","['HEES', 'FAST', 'TEX', 'OSK']"
USA,,['']
USAC,"CAT,HSC,SWN,GE,RGP,TRS","['CAT', 'HSC', 'SWN', 'GE', 'RGP', 'TRS']"
